commonName,scientificName,briefDescription,identification,habitat,riskToHuman,dangerLevel,group,imageUrl
Badge Huntsman,Neosparassus diana,Black marking on underside of abdomen.,Spider flattened and red-brown to orange or pink-brown. Underside of the abdomen has a black shield-shaped patch with two white spots. Body up to 2 cm long.,"Under bark, on tree trunks and in vegetation in woodlands.","Rarely bite. Local reaction if bitten (may include redness, swelling, burning or itching at site of bite), but bites from other Neosparassus species can cause a general reaction (may include headache, nausea, vomiting and muscular pain). ",2,Spiders,https://upload.wikimedia.org/wikipedia/commons/f/f7/Sparassidae_Palystes_castaneus_mature_female_9923s.jpg
Banded Garden-spider,Argiope trifasciata,"Large spider, silvery head section, striped, broad, white abdomen, legs held in X-shape",Globular spider with a silvery carapace (front upper shield) and a broad white abdomen with black stripes. Legs reddish-brown ringed with black and held in an X-shape in a circular web. Underneath two bright yellow longitudinal stripes enclose a long dark-brown area with three pairs of white spots. Leg span up to 6 cm. Male much smaller with a yellow carapace and two dark brown spots and white abdomen. Female body length 1.3-2.5 cm; male 0.4 cm.,"Open forest,sunburban gardens.",Rarely bites; local reaction if bitten.,2,Spiders,https://upload.wikimedia.org/wikipedia/commons/e/e2/Argiope_July_2012-3.jpg
Bird-Dropping Spider,Celaenia excavata,"Mottled brown and white, looks like a bird dropping.","Spider with patches of brown, black and cream-white, resembling a bird dropping. Abdomen wide and triangular, indented with a pair of humps at the back. Body up to 2 cm long.
","Foliage in woodlands, dry sclerophyll forests, orchards and agricultural areas.",The bite of this spider is not considered to be dangerous. Usually no first aid is required. A cold pack can be applied to help reduce any pain or swelling at the site of the bite.,2,Spiders,https://upload.wikimedia.org/wikipedia/commons/c/cb/Bird_dropping_spider03.jpg
Black House Spider,Badumna insignis,"Front of cephalothorax rectangular, velvety black abdomen, above ground lacy web with funnels.","Cephalothorax black, rectangular at the front. Abdomen round and velvety black or dark grey. Body up to 2 cm long.","Often around the bricks in buildings, near windows and doors, also under roof eaves.","Bites are rare due to the spider's timid nature, but can cause a general reaction (may include headache, nausea, vomiting and muscular pain).",2,Spiders,https://upload.wikimedia.org/wikipedia/commons/b/b2/Black_house_spider03.jpg
Brown House Spider,Steatoda grossa,"Spotted or plain body, small cephalothorax and large round abdomen. Similar in shape to the Redback but no red hourglass marking underneath abdomen.","Body colour brown to black. Small cephalothorax and large round abdomen, usually with a white crescent-shaped mark on top, sometimes followed by several white spots. The body shape is similar to a Redback Spider, but it lacks the red marking. Body up to 4 mm long (male), 1 cm long (female).","Indoors in dark places or under furniture, outside in sheds, under pot plants or in rubbishy undisturbed area.","Bite can cause a general reaction (may include headache, nausea, vomiting and muscular pain) and small blisters may appear around the bite site. ",4,Spiders,https://upload.wikimedia.org/wikipedia/commons/f/f7/Kaldari_Steatoda_grossa_female_01.jpg
Daddy Long-legs ,Pholcus phalangioides,"Very long thin legs, small body.","Spider small and cylindrical with very long, thin legs. Pale brown to cream colour with darker markings on the legs and cephalothorax. Body up to 1 cm long.","Indoors, and outdoors in sheltered places like sheds and underneath balconies.","Harmless, local reaction if any (may include redness, swelling, burning or itching at site of bite). ",2,Spiders,https://upload.wikimedia.org/wikipedia/commons/6/6d/Pholcus.phalangioides.6908.jpg
Golden Orb Weaving Spiders ,Nephila edulis,"Large spider, up to 2.4 cm. Head region covered in thick white hairs, abdomen elongate, greyish. Long legs with brushes midway. Resides in a large, 3-dimensional web.","Large spider, up to 2.4 cm long (females). Elongate ovoid greyish abdomen; dark brown head region covered in silvery hairs. Long dark brown legs with thick brushes on the middle segments. Males considerably smaller than females.",Common in bushland areas and sometimes in domestic gardens.,Females may bite if roughly handled. The bite is painful and a localised welt may result. ,2,Spiders,https://upload.wikimedia.org/wikipedia/commons/8/88/Female_Nephila_Edulis_SeanMcClean_2007.jpg
Huntsman Spiders,Isopeda montana,"Fast moving, front legs longer than back legs.","Spider flattened with long legs directed forwards. Coloured grey-brown with varying patterns on the abdomen. Legs sometimes with dark bands. Body up to 3 cm long (males), 5 cm long (females).","Under bark in woodland and dry sclerophyll forests, often inside houses and cars.","A timid spider that rarely bites. Local reaction if bitten (may include redness, swelling, burning or itching at site of bite). ",2,Spiders,https://upload.wikimedia.org/wikipedia/commons/6/69/Isopeda_vasta.jpg
Jupiter Jumping Spider,Breda jovialis,This small jumping spider has a pattern of yellow-bronze on its abdomen.,"Leg span up to 10 mm. Head black with white hairs. Eyes are front, one pair large. Abdomen slender, black with yellow-bronze markings. Legs orange with black bands. Legs have claw tufts, so can climb smooth surfaces. Fangs opposed, pinching.","Buildings, on tree trunks in woodlands.","Usually harmless, but can bite. ",2,Spiders,https://upload.wikimedia.org/wikipedia/commons/6/6d/PlatycryptusUndatusFemale.jpg
Lynx Spider,Oxyopes mundulus,"Striped body, long spines on legs.",Abdomen long and pointed with longitudinal stripes. Legs with long obvious spines. Body up to 2 cm long.,"On vegetation in urban areas, woodlands and forests.",Bites are considered medically harmless.,1,Spiders,https://upload.wikimedia.org/wikipedia/commons/8/8b/Oxyopes_salticus_Kaldari_02.jpg
Melbourne Trapdoor Spider,Stanwellia grisea,"Mottled rib pattern on abdomen, no trapdoor on burrow, eyes in compact group on raised area","Cephalothorax brown, legs and abdomen paler with a dark lined pattern. Large fangs are visible when threatened. Body up to 3 cm long (male), 4 cm long (female).",In burrows in the ground in soft soil.,"Rarely bites. Deep, painful bite because of large fangs, but causes only a local reaction (may include redness, swelling, burning or itching at site of bite). ",3,Spiders,https://upload.wikimedia.org/wikipedia/commons/b/b2/MelbourneTrapdoorSpider-scale.jpg
Mouse Spiders,Missulena bradleyi,"Shiny black large cephalothorax and stout legs, small eyes spread over front of cephalothorax, trapdoor opening to burrow.","Cephalothorax and legs shiny black. Abdomen rounded, dark grey to black (female) or paler with pale blue patch (male). Body up to 2 cm long (male), 3 cm long (female).",Lives in a burrow in the ground in soft soil.,"Few serious bites have been recorded, but there is evidence to suggest that the venom is toxic. Treat these spiders with caution. ",3,Spiders,https://upload.wikimedia.org/wikipedia/commons/5/59/Mouse_spider.jpg
Mountain Funnelweb-spider,Teranodes montana,"Large, dark-brown to black spider with five faint yellowish spots on abdomen and six spinnerets; leg-span to 10 cm.","Large, dark-brown to black spider with six finger-like spinnerets at the rear of the abdomen. Carapace (front upper shield) is black and shiny. Fangs are long and curved. Abdomen is ovoid and bears five pairs of faint yellowish spots on top; these are more distinct in young individuals. The front legs of the male have a curved spine on the lower side. Body-length of female 2 cm, male 1.7 cm; leg-span up to 10 cm.",Moist forest at elevations above 600 meters.,"Venomous, but not highly dangerous to humans. ",2,Spiders,
Net-casting Spiders ,Deinopis sp,"Two huge eyes, long narrow body.","Spider red-brown to pale grey, sometimes with dark markings. Abdomen narrow with straight sides. Legs long and thin. Head with two huge eyes and six smaller eyes. Body up to 3 cm long.",Vegetation in urban areas.,Bites have not been recorded and are not predicted to cause a reaction. ,1,Spiders,https://upload.wikimedia.org/wikipedia/commons/d/df/Deinopis-and-web-taiwan.jpg
Red-Headed Mouse Spider,Missulena occatoria,"Smooth, glossy carapace; head area is high, steep and broad with very large, bulbous jaws.","Smooth, glossy carapace; head area is high, steep and broad with very large, bulbous jaws. Eyes are widespread across the front of their head. The spinnerets, at the back of the abdomen, are short and blunt. Females are uniformly dark brown to black and larger than males. Males have a bright red head and jaws and gunmetal blue to black abdomens. Body size up to 3.5 cm.",Open forest to semi-arid shrubland.,"Venom may be very toxic, but few cases of serious envenomation have been recorded. ",4,Spiders,https://upload.wikimedia.org/wikipedia/commons/b/b5/Male_Missulena_occatoria_spider_-_cropped.JPG
Redback Spider,Latrodectus hasseltii,Black spider with a red stripe on top of the abdomen and a red hour-glass marking underneath.,"Spider dark brown to black with a small cephalothorax and large round abdomen. Red hour-glass marking underneath the abdomen and a wide, red stripe at back of the abdomen. Juveniles have additional white markings. Body up to 0.4 cm long (male), 1 cm long (female).","Most areas, including near buildings.","Bite can be highly venomous. Symptoms include localised increasing pain and sweating at the bite site, muscular weakness, loss of coordination, nausea, vomiting and convulsions. ",4,Spiders,https://upload.wikimedia.org/wikipedia/commons/8/8f/Latrodectus_hasseltii_close.jpg
Red and Black Spider,Nicodamus peregrinus,Spider half red half black. Legs red and black.,"Cephalothorax and red legs, sometimes orange. Abdomen black, sometimes with a bluish tinge. Body up to 1.5 cm long.","On or near ground, under bark, logs, stones and in leaf litter.",Not dangerous. Bite may still produce a local reaction around the site.,2,Spiders,https://upload.wikimedia.org/wikipedia/commons/c/cb/Red_%26_Black_Spider_Chatswood_West.JPG
Sac Spiders,Cheiracanthium mordax,"Dark stripe along back, sac retreat.","Cephalothorax and legs pale brown, abdomen cream with a darker stripe along the top. Body up to 1 cm long.","Under bark, in foilage, grass tussocks, leaf litter, and indoor areas.","General reaction if bitten (may include headache, nausea, vomiting and muscular pain). ",3,Spiders,https://upload.wikimedia.org/wikipedia/commons/3/34/Cheiracanthium_insulanum_m.jpg
Slater-Eating Spider,Dysdera crocata,"Large cream abdomen, orange to red-brown cephalothorax and legs. Protruding fangs.","Cephalothorax and legs orange to red-brown, abdomen cream to pale grey. Fangs are long and protrude forwards. Body up to 1 cm long (male), 2 cm long (female).","Damp habitats under logs, rocks, rubbish and compost, including urban gardens.","Bite may cause a general reaction (may include headache, nausea, vomiting and muscular pain). ",3,Spiders,https://upload.wikimedia.org/wikipedia/commons/0/0d/Dysdera_crocata.jpg
Social Huntsman,Delena cancerides,"Brown flat body, dark tips of legs","Spider very flattened with a red-brown cephalothorax and a grey-brown abdomen. Front legs longer than the back legs. Body up to 2 cm long for male, 4cm for female.","Inside houses, under bark and woodpiles, in cracks and crevices of trees or stumps.","Capable of a painful bite because of their size, but they rarely bite. Local reaction if bitten (may include redness, swelling, burning or itching at site of bite). ",3,Spiders,https://upload.wikimedia.org/wikipedia/commons/4/4e/ARAN_Sparassidae_Delena_cancerides_f.png
Spiny Spider,Austracantha minax,Six triangular spines on the abdomen.,"Cephalothorax black and legs orange. Abdomen shiny black with a yellow and white pattern of variable extent and six large spines. Sometimes completely black. Body up to 3 mm long for male, 1mm long for female",Shrubby woodlands.,"Rarely bites. Local reaction if bitten (may include redness, swelling, burning or itching at site of bite).",2,Spiders,https://upload.wikimedia.org/wikipedia/commons/3/3a/Austracantha_minax_1_cropped.jpg
Triangular Spiders,Arkys lancearius,"Abdomen triangular, reddish to orange-brown, point to rear, with two large yellow or white spots in the centre, outlined by a row of small white spots.","Abdomen triangular, point to rear; approx. as wide as long. Cephalothorax and abdomen base colour reddish to orange-brown; abdomen outlined by a row of small white spots, +/- a black margin. The two central large yellow or white spots are diagnostic, smaller spots behind. The front legs are largest and are armed with spines. Head angular, with pointed side projections. Eight eyes – two slightly separated on top of the head, then three pairs closely spaced, one pair in front and one to each side. Males are a similar colour to females but are slightly smaller, with a smaller abdomen compared to their carapace. Body length up to 1 cm.",A foliage dweller on leaves of green shrubs in bush and gardens.,Harmless to humans.,1,Spiders,https://upload.wikimedia.org/wikipedia/commons/5/53/Spider_Flint_%26_Steel_track.JPG
Victorian Funnelweb Spider,Hadronyche modesta,"Shiny black spider, eyes in a compact group. Trip wires at burrow entrance","Cephalothorax and legs shiny black, oval abdomen dark brown to black. Fangs are visible when threatened. Body up to 2 cm long (male), 3 cm long (female).",Burrows in the ground.,"Rarely bites and has not been implicated in any fatalities or serious illness, unlike their relative the Sydney Funnelweb Spider. General reaction if bitten (may include headache, nausea, vomiting and muscular pain).",2,Spiders,https://upload.wikimedia.org/wikipedia/commons/7/7f/Victorian_funnelweb02.jpg
Water Spider,Argyroneta aquatica,Leg usually outstretched ,Water spiders have eight very long thin legs and lots of tiny hairs all over their body. Sometimes they have prominent stripes and a speckled green pattern. Their total length with legs can exceed 12 cm.,"Edges of swamps, marshes, creeks, ponds and other areas of water.",Can be aggressive and bite can be painful,2,Spiders,https://upload.wikimedia.org/wikipedia/commons/f/f4/Dolomedes_fimbriatus.jpg
Whip Spider ,Ariamnes colubrinus,"Extremely elongate spider with long, thin legs. The abdomen extends as a long, worm-like cylinder.","Extremely elongate spider with long, thin legs. Commonly brown and grey, or green. The spinnerets are far from the end of the abdomen, about as far from the pedicel as the cephalothorax is long. The abdomen extends as a long, worm-like cylinder. In females the length probably varies with the satiation and egg-carrying status of the female. Males are similar to females but smaller. Body length up to 2.3 cm.","Foliage, grass, twigs, in bush and gardens.",Bites not recorded.,1,Spiders,https://upload.wikimedia.org/wikipedia/commons/f/fc/Whip_Spider_Chatswood.JPG
White-tailed Spider,Lampona cylindrata,"Long dark grey body, white spot at end of abdomen.","Abdomen long and dark grey with a dull white patch at the end. Legs red-brown, front two pairs point forward. Males have two pairs of pale spots on the abdomen. Body up to 1 cm long (male), 2 cm long (female).","Under bark and rocks, also inside buildings.","White-tailed Spider bites are suspected of causing large-scale necrotic lesions, but there is little evidence to support this. Reactions range from nothing, to redness and swelling, nausea or blisters. ",4,Spiders,https://upload.wikimedia.org/wikipedia/commons/9/98/White_tailed_spider.jpg
Wolf Spiders,Lycosidae sp,"Two large eyes on front of the cephalothorax, above a curved row of four smaller eyes. Often active during the day.","Body brown to grey, often with pale coloured patterns. Two large eyes on front of the cephalothorax, above a curved row of four smaller eyes and two other eyes further back. Body up to 3 cm long.","On the ground in a range of habitats, including urban gardens.","Local reaction if bitten. No records of any serious reactions associated with bites of humans, but cats and possibly dogs might be at risk. ",2,Spiders,https://upload.wikimedia.org/wikipedia/commons/7/7c/Wolf_Spider_rpp.jpg
St.Andrew's Cross Spider,Argiope keyserlingi,"Yellow and brown stripes across abdomen, white cross in web.","Abdomen with yellow and red-brown stripes across (female), or cream with a mottled brown pattern (male). Long legs. Body up to 4 mm long (male), 2 cm long (female).","Woodlands, heathlands, dry sclerophyll forests and urban gardens.","Harmless. Local reaction if bitten (may include redness, swelling, burning or itching at site of bite).",2,Spiders,https://upload.wikimedia.org/wikipedia/commons/2/21/Female_St_Andrew%27s_Cross_Spider_-_Argiope_keyserlingi.jpg
Leaf Curling Spider,Phonognatha graeffei,"Hides inside a curled-up leaf, creamy-yellow pattern on the abdomen.","Cephalothorax and legs red-brown, abdomen with a creamy-yellow pattern along the middle. Body up to 1 cm long.","Open woodland, forest habitats and urban gardens.","A timid spider that rarely bites. Local reaction if bitten (may include redness, swelling, burning or itching at site of bite).",2,Spiders,https://upload.wikimedia.org/wikipedia/commons/6/67/LeafCurlingSpider01.jpg
Bronze Jumping Spider,Helpis minitabunda,"Medium size, two long front legs.","Male body length to 10 mm, females to 8 mm. The front two pairs of legs are particularly long. The male head has a flat topped caput covered with creamy white hairs. Below are large protruding chelicerae. The demeanor of the female is more cryptic than the male.",In a retreat formed from a rolled up green leaf or wandering in greenery.,This species is common around houses so bitings may occur but should only cause local pain and inflammation.,1,Spiders,https://upload.wikimedia.org/wikipedia/commons/a/ae/Helpis_minitabunda_female.jpg
Enamelled Spider,Plebs bradleyi,The abdomen has an enamelled appearance,"The body length of males is 8 to 9 mm and females from 14 to 18 mm. The abdomen has an enamelled appearance which varies in different parts of the country. In some areas different forms appear side by side. Some are a pure jade colour. The egg sac is round in shape, flat on the bottom where it is fastened down, of red brown silk of a woolly appearance. The eggs are 1 mm in diameter, in a sticky mass.","This species builds a small orb web among the leaves of shrubs or tall grasses and reasonably close to the ground. The female of this species is said to be most active at night, tending to hide in a leafy retreat during the daylight hours",Not significantly aggressive towards humans,2,Spiders,https://upload.wikimedia.org/wikipedia/commons/6/6e/Araneus_bradleyi_-_17mm_body_length_-_35mm_entire_length.jpg
Grey House Spider,Badumna longinqua,"A common household spider with a dark body, mottled abdomen, tapering legs and a stiff web often made in crevices.","Leg span 20-30 mm. Female with black head, mottled brown bulbous abdomen. Legs tapering, dark brown. Body covered with many small fine hairs. Male similar but with slender head and abdomen. Fangs opposed, pinching.","Sheltered, cool areas in gardens, tree trunks and buildings, especially in crevices.","Venomous, but not highly dangerous to humans.",2,Spiders,https://upload.wikimedia.org/wikipedia/commons/b/b5/Badumna_longinqua.jpg
Jovial Jumper,Apricia jovialis,This small jumping spider has a pattern of yellow-bronze on its abdomen.,"Leg span up to 10 mm. Head black with white hairs. Eyes are front, one pair large. Abdomen slender, black with yellow-bronze markings. Legs orange with black bands. Legs have claw tufts, so can climb smooth surfaces. Fangs opposed, pinching.","Buildings, on tree trunks in woodlands.","Usually harmless, but can bite.",1,Spiders,https://upload.wikimedia.org/wikipedia/commons/8/84/Jovial_Jumper_Ocrisiona_jovialis_at_Elvina_Bay.JPG
Orb-Weaving Spider,Eriophora biapicata,"Triangular abdomen, legs red at the base.","Abdomen triangular with two humps towards the front, variable in colour, but usually light brown with a darker leaf-like pattern. Legs red near the body. Body up to 2 cm long.","Most areas, including gardens and backyards.","Rarely bites. Local reaction if bitten (may include redness, swelling, burning or itching at site of bite), also possibility of nausea and dizziness.",3,Spiders,https://upload.wikimedia.org/wikipedia/commons/e/e0/Spider_-_Eriophora_nephiloides%2C_Caves_Branch_Jungle_Lodge%2C_Belmopan%2C_Belize.jpg
The Common Peacock Spider,Maratus pavonis,"Small spider, up to 0.5 cm. Males with red and blue pattern on abdomen; will wave legs and display themselves. Females rarely noted.","A small spider, up to 0.5 cm long (females). Male abdomen rectanguloid with two red symmetrical crescents surrounding a central red spot on a blue background; design extends onto short flaps, which fold when not in use. Third legs with black brushes, tips with white brushes. Female dull brown, grey with foliate pattern on abdomen.",Common in bushland areas and domestic gardens.,Harmless.,1,Spiders,https://upload.wikimedia.org/wikipedia/commons/0/0a/Maratus_pavonis_Jean_and_Fred_Hort_3.jpg
Flying Spider,Maratus volans,The abdomen with a pattern of gold and blue that wraps around on extendable flaps. Orange and grey longitudinal stripes above the eyes.,"Male: orange-red and blue-grey longitudinal stripes above the eyes and white hair patches on the top of the cephalothorax and lateral edges dark brown. The abdomen with iridescent red, blue and green pattern with a pattern of gold and blue that wraps around on extendable flaps. Legs brown mottled; leg three with dark hair tuft and white tip. Female: cephalothorax coppery, legs mottled brown and black, abdomen with dark dorsum around longitudinal paler stripe, pale flanks. Body length up to 0.5 cm.",Forests on low shrubs and in the leaf litter.,Harmless.,1,Spiders,https://upload.wikimedia.org/wikipedia/commons/5/53/MalePeacockSpider.jpg
Rufous Net-casting Spider,Deinopis subrufa,A large long-legged brown spider that often holds its legs in an X-shape.,"Leg span up to 140 mm. Long slender abdomen. Brown, sometimes with darker V-shaped markings. Front eyes large. First and second pair of legs, and third and fourth pairs of legs, often held together making it look as if the spider has just two pairs of legs. Male similar. Claw tufts absent. Fangs opposed, pinching.","Low vegetation of gardens, grasslands and woodlands.","Venomous, but not highly dangerous to humans.",2,Spiders,https://upload.wikimedia.org/wikipedia/commons/4/4d/Deinopis_subrufa_female.jpg
Garden Wolf Spider,Tasmanicosa godeffroyi,"Large spider, up to 2.5 cm. Brown body with a pattern of radiating black stripes on the head region. The underside of abdomen has a solid black patch.","Up to 2.5 cm long and dark brown. The head region is dark brown with radiating white stripes. The abdomen has a black bell-shaped patch outlined in white to anterior, edged with white and cream chevrons towards posterior. Underside of abdomen entirely black.","Common in bushland areas, but may also be found in domestic gardens.","Bites can cause rapid pulse, dizziness, nausea, swelling and persistent pain and tingling. Most bites produce no reaction.",3,Spiders,https://upload.wikimedia.org/wikipedia/commons/0/03/CSIRO_ScienceImage_2349_A_Female_Godeffroys_Wolf_Spider_with_Egg_Sac.jpg
Biting Jumper,Opisthoncus mordax,"Male: cephalothorax black with a white patch, abdomen black with a white stripe and white anterior crescent, large chelicerae with prominent teeth.","Opisthoncus species have a characteristic bump on the dorsal carapace between the posterior lateral eyes; the first and second pairs of legs are the strongest and longest. Male: large chelicerae with prominent teeth; black/dark brown with a white patch on the posterior dorsal cephalothorax, dorsal abdomen with a white anterior crescent and dorsal stripe. Female not described, but juveniles resemble females of O. parcedentatus: mottled brown, orange and white, with white patterns in the same position as the markings on male. Male body length up to 1 cm.",Urban gardens and shrubby bushland.,Occasional bites recorded; moderate pain but not dangerous.,2,Spiders,https://upload.wikimedia.org/wikipedia/commons/9/9e/Opisthoncus_mordax_male.jpg
Common Wombat,Vombatus ursinus,"Stocky body, short legs.",Body fur grey-brown to black. Broad head with large nose and ears. Body up to 1.1 m.,"Dry and wet forest, woodland and coastal heath.","Danger from a wombat is mostly associated with individuals in captivity/zoo, as wombats can be perceived as affectionate pets when they are young, but can become quite aggressive as they mature.",1,Others,https://upload.wikimedia.org/wikipedia/commons/1/18/Vombatus_ursinus_-Maria_Island_National_Park.jpg
Platypus,Ornithorhynchus anatinus,"Streamline body and a broad, flat tail are covered with dense waterproof fur.",Distinguishing features of a Platypus are: streamlined body with a bill and broad flat tail; short limbs with webbed feet; dense dark brown to reddish brown fur with light brown/silver underfur.,"Platypus spends most of the time in its burrow in the bank of the river, creek or a pond.","Male Platypuses have a calcaneous, sharp spur about 12 millimetres long on each ankle. The spur is connected via a long duct to a gland that produces venom, particularly in the breeding season. The venom can cause severe pain to humans, and although not lethal, the pain caused has been described as excruciating. Swelling rapidly develops around the wound and gradually spreads throughout the affected limb. Information obtained from case histories and anecdotal evidence indicates that the pain develops into a long-lasting hyperalgesia (temporary increased sensitivity to pain) that persists for days or even months. Therefore, if there is a need to handle a Platypus (helping an injured animal for instance), it should always be picked up by the end half of the tail to avoid the spur in case it is a male.",3,Others,https://upload.wikimedia.org/wikipedia/commons/1/12/Platypus_BrokenRiver_QLD_Australia2.png
Giant Centipede,Ethmostigmus rubripes,It has black bands along the body and yellow legs and antenna.,The Giant Centipede ranges in colour from dark blue-green-brown to orange-yelllow. It has black bands along the body and yellow legs and antenna. The body is long and flatterned with 25 or 27 body segments and 21 or 23 pairs of legs. The first pair of legs behind the head are modified claws which curve around its head and can deliver venom into its prey.,"The Giant Centipede can be found in both dry and moist habitats, usually in sheltered places such as under logs,in leaf litter, soil, under rocks and bark in urban areas, forests, woodlands, heath, rainforests and deserts.","A Giant Centipede may bite if disturbed or handled, the bite may cause severe pain that could persist for several days, however no deaths have been recorded from the bite of any Australian centipede.",2,Others,https://upload.wikimedia.org/wikipedia/commons/a/a2/Ethmostigmus_rubripes.jpg
Cane Toad,Rhinella marina,"Adult toads have a light brown or yellow-brown back, with darker patches and spots.","A very large species of toad reaching up to 15 cm in body length, and occasionally attaining 25 cm. Adult toads have a light brown or yellow-brown back, with darker patches and spots. The skin is dry and warty. The belly is white or yellow, sometimes with grey mottling. The pupil is horizontal, and the iris is gold with distinct black spotting. Fingers are unwebbed and toes are fully webbed. Young toads often have a grey back, with distinct yellow or red spots or patches. Adults have large parotid glands on the shoulders, which secrete toxins when the toad is under threat. ","They are found in open forests, grasslands, swamps, beach dunes, farmland and suburban areas.","The skin of the adult cane toad is toxic, as well as the enlarged parotoid glands behind the eyes, and other glands across its back. When the toad is threatened, its glands secrete a milky-white fluid known as bufotoxin. Components of bufotoxin are toxic to many animals; even human deaths have been recorded due to the consumption of cane toads.",4,Others,https://upload.wikimedia.org/wikipedia/commons/9/99/Canetoadmale.jpg
Australian magpie,Gymnorhina tibicen,"Black and white body, thick white bill.","Body black and white. Male: top of head, wings, face, underparts and tail tip black; wing-bar and rest of upperparts white. Female: like male, but duller and back mottled grey. Body up to 45 cm long.",Most areas.,"Australian Magpies are strongly territorial and defend their territories both from other magpies as well as potential predators. Unfortunately, some individual magpies perceive humans as a potential threat and accordingly, swoop down with a fast warning flight, occasionally making contact. Only a small minority of Australian Magpies behaves like this, and some of these aggressive magpies will only swoop on particular people.",2,Others,https://upload.wikimedia.org/wikipedia/commons/1/10/Cracticus_tibicen_hypoleuca_male_domain.jpg
